bank,time,OperatingCost,LoanNadvance,POLA,POB,Off balance sheet item,Total earning assets,TOTAL deposit,POD,Fixed assets,POF,Labor,POL
1,1,9876,49032,0.062102,0.110021,89765,6667,63450,0.04747,1976,0.146255,4269,0.273366
2,1,12467,231167,0.118663,0.212154,58764,113456,364386,0.039313,9876,0.018935,19279,0.274547
3,1,14612,144678,0.0682,0.208374,70124,32613,221336,0.042045,2446,0.067866,12432,0.290701
1,2,12321,52344,0.06186,0.131956,93372,7755,73803,0.043548,2332,0.129074,4529,0.306911
2,2,14955,254023,0.113151,0.220578,67799,131197,406152,0.038902,10047,0.019508,14105,0.522793
3,2,15496,166359,0.062377,0.210778,73518,26960,246175,0.042149,2685,0.068156,13122,0.304527
1,3,13425,66049,0.052431,0.140778,95363,19716,91123,0.038004,9521,0.036551,4982,0.326375
2,3,14962,286098,0.104349,0.114168,131053,161953,478134,0.040012,10594,0.031527,13926,0.671047
3,3,18578,225732,0.052983,0.174888,106228,28315,286567,0.041735,6299,0.034132,12826,0.402464
1,4,10987,76524,0.042314,0.084786,129585,19336,107234,0.048147,9671,0.03588,5845,0.282977
2,4,11223,345991,0.08956,0.075744,148171,101908,533192,0.042039,23060,0.018213,15135,0.537826
3,4,24913,257801,0.067828,0.164761,151207,29827,361677,0.491557,9634,0.030932,15020,0.342876
1,5,13034,90641,0.095895,0.080787,161337,20132,136598,0.063632,9689,0.036433,5645,0.305403
2,5,11556,378147,0.085829,0.058089,198936,143333,599294,0.055008,23154,0.021422,15171,0.525938
3,5,34981,305350,0.090057,0.310779,112559,34886,409767,0.067109,9462,0.046396,15071,0.349944
1,6,13412,107426,0.110848,0.065627,204366,17701,177955,0.066916,9559,0.040172,5669,0.301641
2,6,50748,343451,0.112962,0.288664,175803,134375,685895,0.056624,32503,0.015875,22890,0.352643
3,6,42944,578535,0.059136,0.074229,578535,49283,578535,0.059141,9724,0.052962,15485,0.333355
1,7,13811,125012,0.125676,0.054524,253303,17534,221656,0.07088,13966,0.029429,5914,0.336659
2,7,56194,337554,0.128228,0.244396,229930,139097,778043,0.055667,32768,0.017517,22446,0.388755
3,7,45709,319773,0.11253,0.630512,72495,44843,516010,0.069739,9729,0.060746,14413,0.468119
1,8,14786,142515,0.119672,0.051368,287843,15894,253829,0.067191,14194,0.034381,5646,0.43305
2,8,60750,346346,0.134833,0.241116,251953,135219,866012,0.053957,33106,0.017489,22100,0.434615
3,8,44958,349861,0.09713,0.369812,121570,47929,568911,0.059772,10033,0.065285,14151,0.537206
1,9,17272,175151,0.087142,0.053565,322452,18292,279116,0.054683,14121,0.040295,5438,0.772343
2,9,66727,384538,0.12314,0.338843,196926,191566,1031608,0.045902,33114,0.016519,20203,0.717468
3,9,44308,403037,0.777425,0.421283,105174,58685,641819,0.048835,10573,0.071503,13188,0.726418
1,10,17272,185432,0.07167,0.048759,354231,19245,285132,0.01069,14102,0.022834,5678,0.697076
2,10,62398,423218,0.101366,0.054345,1148178,142101,1064331,0.04031,33307,0.015222,18301,0.785749
3,10,41102,459580,0.058952,0.34002,120881,61174,649440,0.041721,10308,0.082363,12391,0.812929
