bank,time,ProfitAfterTax,LoanNadvance,POLA,Off balance sheet item,POB,Total earning assets,POOEA,TOTAL deposit,POD,Fixed assets,POF,Labor,POL
1,1,2023,52677,0.107,2161,0.56,2537,0.035,58007,0.097,1472,0.264,1452,0.994
2,1,821,41698,0.092,23253,0.067,2729,0.04,51575,0.071,1340,0.208,1229,0.558
3,1,1014,34421,0.092,10921,0.161,4876,0.085,45034,0.068,2514,0.154,2134,0.482
4,1,615,43419,0.093162,19876,0.229775,1245,0.022261,49538,0.114538,683,0.147877,1115,0.704933
5,1,558,28529,0.1047,11467,0.05651,1246,0.031978,33820,0.082555,367,0.128065,739,0.410014
6,1,422,23287,0.103148,10261,0.263912,767,0.024162,27861,0.088906,408,0.272059,859,0.346915
7,1,1272,30319,0.095847,15432,0.128694,1250,0.032281,32059,0.096884,298,0.161074,834,0.40048
8,1,1232,75156,0.121028,36635,0.053337,9962,0.090205,88021,0.080992,1375,0.110545,1551,0.587363
9,1,2587,60281,0.212156,76443,0.039585,7234,0.08911,68714,0.159895,2685,0.04581,1231,0.34931
10,1,1463,44446,0.084147,18085,0.147028,3024,0.046671,54485,0.068643,999,0.094094,2092,0.541109
11,1,798,39662,0.093,18528,0.071,1246,0.023,41573,0.088,1246,0.113162,763,0.78637
12,1,657,33018,0.071082,20536,0.095442,1640,0.035863,36092,0.032362,511,0.289628,2110,0.44218
13,1,2674,180053,0.007353,57138,0.072036,1930,0.008359,202115,0.060174,4407,0.056955,9397,0.301905
14,1,1258,27742,0.009,7792,0.085,31379,0.84404336,29690,0.075,396,0.123,1080,0.389
15,1,787,20084,0.16097391,12534,0.257938,1815,0.06089,24099,0.096477,443,0.099323,750,0.348
16,1,2518,53637,0.017357,26070,0.039509,2840,0.041493,58833,0.08123,293,0.232082,1312,0.414634
17,1,1566,32919,0.03748595,14786,0.034694982,499,0.011312628,34280,0.086406068,339,0.091445428,878,0.308656036
1,2,2144,64151,0.094,5989,0.76,5450,0.058,75200,0.081,1638,0.276,1454,1.103
2,2,1137,48411,0.087,26262,0.081,4230,0.051,67788,0.061,1733,0.223,1785,0.558
3,2,1388,43486,0.084,10447,0.196,5123,0.067,62384,0.069,2788,0.143,2424,0.498
4,2,807,48295,0.098457,21757,0.291217,1396,0.021098,58033,0.081936,1032,0.093023,1303,0.61934
5,2,1626,33883,0.096184,10061,0.091144,2196,0.041611,50413,0.067621,445,0.130337,1041,0.469741
6,2,727,32533,0.085667,14715,0.200476,404,0.008945,39365,0.081113,436,0.268349,1039,0.471607
7,2,1391,33664,0.098295,16398,0.125686,1360,0.028727,37381,0.088521,529,0.102079,893,0.558791
8,2,2784,89252,0.121353,44926,0.065307,3435,0.027523,106956,0.078799,1573,0.120153,1844,0.690889
9,2,3870,77497,0.173233,88522,0.047943,7885,0.069979,96669,0.121818,4323,0.055054,1402,0.375178
10,2,1541,61692,0.070479,22098,0.1387,4816,0.053225,77730,0.068802,1305,0.082759,2508,0.523525
11,2,1455,47668,0.063,17223,0.095,832,0.012,49190,0.078,1804,0.146896,878,0.990888
12,2,1647,37794,0.073292,21366,0.099691,2419,0.038457,50018,0.022032,616,0.274351,2193,0.458276
13,2,4667,214615,0.008028,62335,0.072929,870,0.006719,244292,0.053526,6512,0.042383,9588,0.328849
14,2,1589,36134,0.007,12463,0.072,39922,0.822879522,38355,0.07,466,0.137,1296,0.426
15,2,1064,27890,0.130118322,10106,0.359094,2053,0.051351,31588,0.06531,649,0.098613,950,0.664211
16,2,3181,68609,0.015173,30109,0.041782,1401,0.01625,73835,0.080341,381,0.228346,1440,0.447222
17,2,1795,43958,0.023567951,16936,0.051665092,358,0.006075932,47459,0.08849744,620,0.083870968,1299,0.35873749
1,3,2916,82461,0.071,23151,0.241,6757,0.058,88157,0.067,1749,0.347,7171,0.295
2,3,2002,67657,0.051,46497,0.063,5472,0.054,83244,0.041,2934,0.165,2794,0.53
3,3,2999,60327,0.058,20387,0.116,5674,0.062,67420,0.069,3206,0.132,2685,0.619
4,3,1425,66377,0.086114,27989,0.253814,2391,0.027439,75629,0.068439,1647,0.07286,1526,0.610747
5,3,2001,39676,0.086501,15498,0.090076,1934,0.033204,65819,0.049044,765,0.128105,1089,0.501377
6,3,1887,42190,0.085,22279,0.155,1471,0.025,50734,0.083,619,0.225,1247,0.694
7,3,2859,464000,0.007487,25944,0.112396,1786,0.026172,54691,0.063521,652,0.127301,965,0.629016
8,3,3102,112876,0.069315,137434,0.026325,7349,0.047615,124574,0.091793,1695,0.149263,2139,0.825152
9,3,4763,93981,0.154627,113910,0.046844,8947,0.067917,107253,0.142672,4463,0.056912,1613,0.530068
10,3,3632,93560,0.060197,40797,0.10111,6101,0.046975,113070,0.04981,1986,0.085096,2738,0.655588
11,3,2425,58607,0.072,28550,0.074,1811,0.022,56425,0.071,3614,0.085501,973,1.193217
12,3,900,47563,0.053928,33112,0.079699,2692,0.038698,54660,0.038273,2060,0.11699,2315,0.581425
13,3,5579,263225,0.008362,113098,0.053821,2663,0.008055,291934,0.049569,6784,0.051592,10349,0.414629
14,3,2852,53582,0.006,23463,0.057,62587,0.845713127,53586,0.058,655,0.118,1711,0.417
15,3,1638,39729,0.104684236,12534,0.331817,2917,0.052875,44850,0.054292,914,0.099562,1252,0.714058
16,3,3458,93296,0.014524,55098,0.033413,1837,0.016246,94949,0.063402,463,0.257019,1686,0.601423
17,3,2960,61440,0.018554688,27665,0.047786011,446,0.005659898,62965,0.073977607,1473,0.051595384,1521,0.460880999
1,4,1702,90822,0.09,22239,0.278,8553,0.064,103725,0.079,2599,0.189,6527,0.375
2,4,2154,79660,0.063,38577,0.114,7524,0.06,100771,0.05,3981,0.194,4015,0.52
3,4,3468,76807,0.065,15866,0.232,5993,0.052,83818,0.06,5950,0.075,2772,0.66
4,4,1734,79999,0.100276,41984,0.083389,1678,0.014397,102262,0.078446,2711,0.059757,1668,0.774581
5,4,1205,47005,0.132433,15327,0.123899,2596,0.03401,59050,0.088213,1552,0.108247,1269,0.639086
