bank,time,ProfitAfterTax,LoanNadvance,POLA,Off balance sheet item,POB,Total earning assets,POOEA,TOTAL deposit,POD,Fixed assets,POF,Labor,POL
1,1,1142,49032,0.062102,89765,0.110021,6667,0.088384,63450,0.04747,1976,0.146255,4269,0.273366
2,1,3456,231167,0.118663,58764,0.212154,113456,0.204676,364386,0.039313,9876,0.018935,19279,0.274547
3,1,4467,144678,0.0682,70124,0.208374,32613,0.122074,221336,0.042045,2446,0.067866,12432,0.290701
1,2,2098,52344,0.06186,93372,0.131956,7755,0.088335,73803,0.043548,2332,0.129074,4529,0.306911
2,2,2310,254023,0.113151,67799,0.220578,131197,0.238169,406152,0.038902,10047,0.019508,14105,0.522793
3,2,8758,166359,0.062377,73518,0.210778,26960,0.091806,246175,0.042149,2685,0.068156,13122,0.304527
1,3,2446,66049,0.052431,95363,0.140778,19716,0.158445,91123,0.038004,9521,0.036551,4982,0.326375
2,3,5625,286098,0.104349,131053,0.114168,161953,0.24944,478134,0.040012,10594,0.031527,13926,0.671047
3,3,12036,225732,0.052983,106228,0.174888,28315,0.082017,286567,0.041735,6299,0.034132,12826,0.402464
1,4,3603,76524,0.042314,129585,0.084786,19336,0.135195,107234,0.048147,9671,0.03588,5845,0.282977
2,4,9981,345991,0.08956,148171,0.075744,101908,0.14659,533192,0.042039,23060,0.018213,15135,0.537826
3,4,15722,257801,0.067828,151207,0.164761,29827,0.067729,361677,0.491557,9634,0.030932,15020,0.342876
1,5,3674,90641,0.095895,161337,0.080787,20132,0.116375,136598,0.063632,9689,0.036433,5645,0.305403
2,5,31554,378147,0.085829,198936,0.058089,143333,0.19011,599294,0.055008,23154,0.021422,15171,0.525938
3,5,14533,305350,0.090057,112559,0.310779,34886,0.068253,409767,0.067109,9462,0.046396,15071,0.349944
1,6,2052,107426,0.110848,204366,0.065627,17701,0.081879,177955,0.066916,9559,0.040172,5669,0.301641
2,6,2541,343451,0.112962,175803,0.288664,134375,0.157676,685895,0.056624,32503,0.015875,22890,0.352643
3,6,12127,578535,0.059136,578535,0.074229,49283,0.084089,578535,0.059141,9724,0.052962,15485,0.333355
1,7,2327,125012,0.125676,253303,0.054524,17534,0.065406,221656,0.07088,13966,0.029429,5914,0.336659
2,7,5841,337554,0.128228,229930,0.244396,139097,0.148832,778043,0.055667,32768,0.017517,22446,0.388755
3,7,10683,319773,0.11253,72495,0.630512,44843,0.071359,516010,0.069739,9729,0.060746,14413,0.468119
1,8,2502,142515,0.119672,287843,0.051368,15894,0.052883,253829,0.067191,14194,0.034381,5646,0.43305
2,8,2269,346346,0.134833,251953,0.241116,135219,0.131778,866012,0.053957,33106,0.017489,22100,0.434615
3,8,10720,349861,0.09713,121570,0.369812,47929,0.069395,568911,0.059772,10033,0.065285,14151,0.537206
1,9,887,175151,0.087142,322452,0.053565,18292,0.054749,279116,0.054683,14121,0.040295,5438,0.772343
2,9,3417,384538,0.12314,196926,0.338843,191566,0.15956,1031608,0.045902,33114,0.016519,20203,0.717468
3,9,10388,403037,0.777425,105174,0.421283,58685,0.007544,641819,0.048835,10573,0.071503,13188,0.726418
1,10,1232,185432,0.07167,354231,0.048759,19245,0.056393,285132,0.01069,14102,0.022834,5678,0.697076
2,10,9574,423218,0.101366,1148178,0.054345,142101,0.114567,1064331,0.04031,33307,0.015222,18301,0.785749
3,10,11369,459580,0.058952,120881,0.34002,61174,0.075899,649440,0.041721,10308,0.082363,12391,0.812929
