Bank,time,ce,IT Expenses,IT Income,IT Investment,IT labour,Price of IT,ATM Transaction,ATM expeses,Credit Card Transaction,Credit card expenses
1,1,0.371677,121,120,21356,38,22,890,17,5090,37
2,1,0.692877,297,155,2918,45,44,125,325,450,66
3,1,0.461505,174,65,256,67,32,23,8,127,136
4,1,0.867925,276,32,421,34,25,161,25,1142,158
5,1,0.23646,24,15,98,32,13,125,17,456,29
6,1,0.726745,185,42,395,26,9,83,14,6000,126
7,1,0.530601,36,98,934,26,13,36,12,1654,79
8,1,0.376209,268,158,316,48,28,129,40,3021,212
9,1,0.72202,23,33,145,38,13,122,18,189,24
10,1,0.636572,134,181,113,65,36,332,12,309,164
11,1,0.361951,122,56,359,23,18,360,12,1654,113
12,1,0.433436,189,43,590,66,31,23,13,3090,153
13,1,0.494096,203,102,987,93,85,321,38,6031,651
14,1,0.19904,14,25,155,31,12,352,3,303,13
15,1,0.894249,10,12,273,23,9,100,3,250,2
16,1,0.209999,98,168,323,41,17,35,23,31,53
17,1,0.261982,19,38,74,27,8,34,2,2456,132
1,2,0.41356,178,204,31870,56,31,900,76,7990,49
2,2,0.745316,439,426,3073,45,49,177,226,670,87
3,2,0.466659,287,43,354,75,37,50,7,137,134
4,2,0.919194,285,56,573,40,26,245,27,1614,196
5,2,0.274217,36,82,82,32,18,198,18,534,46
6,2,0.717584,255,62,415,32,10,94,21,9000,138
7,2,0.543046,40,120,960,27,15,55,12,3256,98
8,2,0.488433,264,188,348,57,39,139,45,3720,332
9,2,0.785362,20,27,165,43,16,149,24,190,32
10,2,0.634661,251,250,272,78,41,451,17,609,183
11,2,0.394268,169,54,422,27,23,553,22,3256,134
12,2,0.416995,277,58,615,68,31,34,25,6090,165
13,2,0.511917,316,87,1063,99,98,431,67,8546,761
14,2,0.23792,15,41,156,40,16,434,3,454,16
15,2,0.871558,12,25,369,29,12,100,4,251,3
16,2,0.223119,125,209,366,45,19,49,37,146,66
17,2,0.373153,24,42,78,40,14,44,4,2387,139
1,3,0.469911,238,427,31871,93,49,1100,111,8031,66
2,3,0.743812,991,427,3235,121,33,230,622,630,95
3,3,0.528207,376,54,398,89,55,72,8,371,154
4,3,0.916864,303,54,599,50,31,316,28,1976,187
5,3,0.348174,46,98,96,37,23,217,18,876,54
6,3,0.779718,605,58,550,41,18,106,19,10000,140
7,3,0.21074,120,300,1086,32,20,74,13,6893,181
8,3,0.584575,298,249,379,71,57,143,58,8918,353
9,3,0.854761,35,21,187,53,28,165,24,210,43
10,3,0.684574,254,340,361,91,59,454,18,509,187
11,3,0.47844,136,130,288,65,39,742,23,6893,106
12,3,0.53858,278,46,635,77,44,56,37,5090,170
13,3,0.604047,415,98,1341,244,143,453,84,10123,893
14,3,0.282374,21,43,106,57,23,538,4,512,13
15,3,0.863027,15,37,458,41,21,121,5,265,4
16,3,0.286889,125,209,366,45,19,49,37,146,66
17,3,0.466141,20,45,87,50,23,46,6,2512,152
1,4,0.633539,433,712,45268,179,80,1940,170,16592,83
2,4,0.811453,681,712,3923,271,96,293,547,700,102
3,4,0.660116,543,89,700,106,70,122,10,641,164
4,4,0.65977,245,65,614,64,49,389,29,2438,195
5,4,0.473648,53,193,113,49,30,213,23,986,76
6,4,0.776824,745,72,625,52,30,118,20,11000,121
7,4,0.882395,31,406,1801,39,24,125,12,5810,252
8,4,0.618652,334,264,416,99,99,181,75,9365,392
9,4,0.811294,45,38,214,66,33,211,27,234,54
10,4,0.624678,150,310,467,106,63,758,43,5023,198
11,4,0.55654,250,134,385,46,57,1251,36,5810,168
12,4,0.592593,89,62,690,91,60,126,85,7023,180
13,4,0.691985,478,107,1564,440,178,567,104,11677,788
14,4,0.293089,22,35,264,70,34,596,4,567,18
15,4,0.869507,21,48,564,49,31,123,6,287,5
16,4,0.378482,219,378,478,66,51,126,44,677,68
17,4,0.592155,23,58,213,58,34,95,6,2654,158
1,5,0.782604,206,1033,55869,220,165,2366,203,31982,57
2,5,0.824327,779,1033,4129,280,119,319,564,780,103
3,5,0.786984,689,103,967,115,84,631,13,876,278
4,5,0.588249,378,98,614,82,56,455,12,2998,245
5,5,0.515079,64,304,181,54,39,319,27,1000,87
6,5,0.788204,954,125,750,61,49,142,15,12000,189
7,5,0.833006,39,312,1612,48,36,160,13,8754,243
8,5,0.728029,302,312,499,97,102,234,110,10206,394
