Bank,time,ce,IT Expenses,IT Income,IT Investment,IT labour,Price of IT,ATM Transaction,ATM expeses,Credit Card Transaction,Credit card expenses
1,1,0.922863,10,9,467,14,11,12,2,165,2
2,1,0.281679,10,8,120,18,50,81,1,98,1
3,1,0.579731,27,11,125,12,34,10,2,150,2
1,2,0.952717,24,12,564,13,13,12,2,234,3
2,2,0.318082,15,7,128,35,70,110,1,58,2
3,2,0.55038,41,16,349,13,38,10,3,211,3
1,3,0.845974,20,6,219,36,91,115,1,126,2
2,3,0.301787,36,13,589,24,15,112,4,246,2
3,3,0.452547,21,12,227,25,39,111,3,226,3
1,4,0.589536,42,5,687,39,21,135,2,315,4
2,4,0.176281,39,5,125,51,81,127,2,218,2
3,4,0.38712,16,11,127,52,50,122,3,318,6
1,5,0.590873,59,8,778,47,17,213,2,434,5
2,5,0.162236,58,4,189,54,81,109,2,334,2
3,5,0.661466,14,34,182,53,54,212,4,434,8
1,6,0.531152,87,12,863,60,18,316,11,436,4
2,6,0.719675,77,13,198,166,85,314,2,391,3
3,6,0.463464,292,189,189,64,64,213,5,492,11
1,7,0.451325,102,15,981,64,21,432,29,567,6
2,7,0.800732,97,20,212,154,94,426,3,532,4
3,7,0.879529,333,16,245,156,72,370,6,632,17
1,8,0.451238,132,18,1308,62,26,434,19,765,7
2,8,0.844055,127,8,695,156,103,628,5,632,6
3,8,0.825733,396,9,1072,155,82,635,6,732,18
1,9,0.480151,143,23,1610,61,47,535,25,876,12
2,9,0.878315,321,15,750,151,162,730,4,621,8
3,9,0.787545,477,27,1631,149,108,835,8,822,20
1,10,0.508923,158,35,1876,133,100,736,23,1123,15
2,10,0.692023,402,21,842,284,363,835,4,822,10
3,10,0.69008,567,47,1821,263,291,940,9,1022,24
